"Date","Price","Open","High","Low","Vol.","Change %"
"09-04-2021","1,759.24","1,761.11","1,784.90","1,750.00","739.44K","-0.55%"
"08-04-2021","1,768.99","1,742.51","1,775.90","1,732.68","1.18M","1.61%"
"07-04-2021","1,740.98","1,710.00","1,786.60","1,702.50","1.78M","1.92%"
"06-04-2021","1,708.17","1,691.00","1,712.00","1,680.00","641.93K","1.19%"
"05-04-2021","1,688.06","1,715.00","1,715.00","1,672.39","815.57K","-1.19%"
"01-04-2021","1,708.32","1,716.52","1,718.86","1,696.76","831.76K","-0.48%"
"31-03-2021","1,716.52","1,729.90","1,729.90","1,695.15","1.10M","0.00%"
"30-03-2021","1,716.50","1,661.00","1,725.36","1,661.00","1.49M","3.58%"
"26-03-2021","1,657.17","1,629.90","1,661.85","1,625.40","1.27M","2.48%"
"25-03-2021","1,617.01","1,642.50","1,658.45","1,611.60","1.09M","-1.69%"
"24-03-2021","1,644.81","1,660.00","1,676.98","1,641.92","755.55K","-1.40%"
"23-03-2021","1,668.13","1,657.50","1,675.00","1,650.64","1.00M","0.56%"
"22-03-2021","1,658.81","1,645.10","1,667.50","1,635.10","1.09M","0.83%"
"19-03-2021","1,645.09","1,620.00","1,659.50","1,607.00","1.99M","1.54%"
"18-03-2021","1,620.12","1,646.79","1,662.49","1,618.00","963.65K","-1.55%"
"17-03-2021","1,645.58","1,679.00","1,679.00","1,634.01","1.57M","-1.71%"
"16-03-2021","1,674.19","1,683.50","1,702.00","1,669.50","844.70K","-0.54%"
"15-03-2021","1,683.31","1,687.98","1,687.98","1,663.00","689.83K","0.66%"
"12-03-2021","1,672.24","1,697.70","1,700.98","1,665.00","849.14K","-1.23%"
"10-03-2021","1,693.14","1,694.97","1,700.00","1,678.50","637.88K","0.12%"
"09-03-2021","1,691.08","1,691.02","1,694.99","1,666.00","927.17K","0.35%"
"08-03-2021","1,685.24","1,672.51","1,690.00","1,660.70","918.42K","0.41%"
"05-03-2021","1,678.29","1,651.60","1,684.00","1,645.60","1.03M","0.73%"
"04-03-2021","1,666.18","1,665.65","1,670.80","1,644.50","1.30M","-0.22%"
"03-03-2021","1,669.92","1,670.50","1,672.00","1,654.66","928.73K","0.74%"
"02-03-2021","1,657.62","1,630.20","1,662.00","1,628.97","1.23M","1.74%"
