"Date","Price","Open","High","Low","Vol.","Change %"
"25-06-2021","339.65","335.90","342.80","335.90","22.43M","1.49%"
"24-06-2021","334.65","335.00","337.40","333.35","15.58M","-0.18%"
"23-06-2021","335.25","341.00","343.25","334.30","25.74M","-0.78%"
"22-06-2021","337.90","337.10","344.30","336.15","26.71M","1.08%"
"21-06-2021","334.30","330.90","335.80","326.20","29.12M","-0.92%"
"18-06-2021","337.40","345.65","346.90","329.00","49.44M","-2.39%"
"17-06-2021","345.65","348.40","352.90","342.25","29.24M","-1.06%"
"16-06-2021","349.35","350.10","356.00","348.10","27.55M","-0.95%"
"15-06-2021","352.70","355.75","360.75","351.50","35.53M","-0.91%"
"14-06-2021","355.95","350.05","357.90","341.10","38.48M","1.48%"
"11-06-2021","350.75","346.00","352.90","344.35","36.44M","1.74%"
"10-06-2021","344.75","345.20","347.85","342.40","24.35M","0.41%"
"09-06-2021","343.35","356.20","358.90","339.75","59.33M","-2.66%"
"08-06-2021","352.75","346.25","356.65","337.50","44.11M","2.10%"
"07-06-2021","345.50","339.75","351.00","339.75","64.99M","3.15%"
"04-06-2021","334.95","325.15","336.90","324.25","41.28M","2.86%"
"03-06-2021","325.65","325.30","327.70","323.65","21.41M","0.82%"
"02-06-2021","323.00","315.95","324.40","315.60","26.32M","1.54%"
"01-06-2021","318.10","319.20","325.70","317.30","32.60M","-0.20%"
"31-05-2021","318.75","318.70","319.75","312.10","30.92M","0.00%"
"28-05-2021","318.75","322.65","324.50","316.50","26.62M","0.05%"
"27-05-2021","318.60","317.05","323.45","316.55","49.48M","0.98%"
"26-05-2021","315.50","316.10","320.00","314.80","28.64M","0.08%"
"25-05-2021","315.25","315.55","319.00","313.85","37.38M","1.09%"
"24-05-2021","311.85","314.75","315.80","310.20","31.96M","-0.40%"
"21-05-2021","313.10","312.00","315.70","309.50","40.36M","1.75%"
"20-05-2021","307.70","316.00","316.60","306.10","54.04M","-2.15%"
"19-05-2021","314.45","313.00","322.95","312.10","119.41M","-5.41%"
"18-05-2021","332.45","325.95","336.65","324.00","86.15M","3.53%"
"17-05-2021","321.10","315.40","323.85","311.40","51.16M","2.83%"
"14-05-2021","312.25","329.35","329.50","310.00","81.31M","-4.22%"
"12-05-2021","326.00","318.25","334.75","316.25","111.58M","3.31%"
"11-05-2021","315.55","309.55","320.75","308.10","58.47M","0.22%"
"10-05-2021","314.85","304.50","315.70","304.00","53.26M","4.00%"
