"Date","Price","Open","High","Low","Vol.","Change %"
"27-11-2017","3,271.40","3,289.00","3,289.00","3,255.75","208.37K","-0.51%"
"24-11-2017","3,288.30","3,310.00","3,327.90","3,278.95","336.08K","0.72%"
"23-11-2017","3,264.65","3,324.00","3,329.60","3,250.00","149.83K","-1.47%"
"22-11-2017","3,313.20","3,316.95","3,348.00","3,307.10","304.49K","0.39%"
"21-11-2017","3,300.25","3,254.70","3,307.00","3,251.00","218.92K","1.80%"
"20-11-2017","3,242.00","3,200.00","3,255.00","3,200.00","209.89K","1.10%"
"17-11-2017","3,206.85","3,230.00","3,246.45","3,193.25","247.10K","-0.06%"
"16-11-2017","3,208.85","3,225.00","3,250.00","3,187.55","159.51K","-0.13%"
"15-11-2017","3,212.95","3,260.00","3,282.00","3,207.25","165.93K","-1.64%"
"14-11-2017","3,266.55","3,239.70","3,287.10","3,203.10","230.04K","1.35%"
"13-11-2017","3,223.00","3,268.00","3,282.70","3,215.10","246.15K","-0.93%"
"10-11-2017","3,253.35","3,200.00","3,275.00","3,181.45","416.18K","1.67%"
"09-11-2017","3,200.00","3,197.95","3,216.90","3,192.05","267.95K","0.34%"
"08-11-2017","3,189.05","3,174.90","3,211.15","3,162.80","250.15K","0.87%"
"07-11-2017","3,161.65","3,239.00","3,239.00","3,146.05","281.48K","-1.50%"
"06-11-2017","3,209.85","3,211.00","3,244.50","3,199.00","154.25K","-0.24%"
"03-11-2017","3,217.45","3,228.00","3,254.00","3,211.00","183.31K","-0.73%"
"02-11-2017","3,241.10","3,277.00","3,278.00","3,216.55","199.53K","0.04%"
"01-11-2017","3,239.75","3,270.00","3,293.95","3,229.85","282.26K","-0.53%"
"31-10-2017","3,257.10","3,270.05","3,296.00","3,250.45","195.42K","-0.76%"
"30-10-2017","3,282.20","3,310.70","3,323.90","3,275.00","139.32K","-0.54%"
"27-10-2017","3,300.15","3,300.00","3,344.90","3,275.70","277.29K","0.51%"
"26-10-2017","3,283.40","3,233.90","3,295.00","3,211.75","185.90K","1.58%"
"25-10-2017","3,232.25","3,264.00","3,264.00","3,219.55","123.56K","0.69%"
